取得日時,往路,復路,価格
2024-07-28 05:16:34,2024年08月02日,2024年08月04日,155251
2024-07-28 05:16:34,2024年08月03日,2024年08月05日,153470
2024-07-28 05:16:34,2024年08月04日,2024年08月06日,165037
2024-07-28 05:16:34,2024年08月05日,2024年08月07日,145530
2024-07-28 05:16:34,2024年08月06日,2024年08月08日,166755
2024-07-28 05:16:34,2024年08月07日,2024年08月09日,161620
2024-07-28 05:16:34,2024年08月08日,2024年08月10日,188047
2024-07-28 05:16:34,2024年08月09日,2024年08月11日,193579
2024-07-28 14:25:47,2024年08月02日,2024年08月04日,152879
2024-07-28 14:25:47,2024年08月03日,2024年08月05日,153640
2024-07-28 14:25:47,2024年08月04日,2024年08月06日,164948
2024-07-28 14:25:47,2024年08月05日,2024年08月07日,178958
2024-07-28 14:25:47,2024年08月06日,2024年08月08日,160854
2024-07-28 14:25:47,2024年08月07日,2024年08月09日,165070
2024-07-28 14:25:47,2024年08月08日,2024年08月10日,196150
2024-07-28 14:25:47,2024年08月09日,2024年08月11日,209028
2024-07-28 16:49:51,2024年08月02日,2024年08月04日,152740
2024-07-28 16:49:51,2024年08月03日,2024年08月05日,153130
2024-07-28 16:49:51,2024年08月04日,2024年08月06日,173081
2024-07-28 16:49:51,2024年08月05日,2024年08月07日,179890
2024-07-28 16:49:51,2024年08月06日,2024年08月08日,169870
2024-07-28 16:49:51,2024年08月07日,2024年08月09日,169258
2024-07-28 16:49:51,2024年08月08日,2024年08月10日,185988
2024-07-28 16:49:51,2024年08月09日,2024年08月11日,203683
2024-07-28 17:03:13,2024年08月02日,2024年08月04日,152740
2024-07-28 17:03:13,2024年08月03日,2024年08月05日,153130
2024-07-28 17:03:13,2024年08月04日,2024年08月06日,173081
2024-07-28 17:03:13,2024年08月05日,2024年08月07日,179890
2024-07-28 17:03:13,2024年08月06日,2024年08月08日,169870
2024-07-28 17:03:13,2024年08月07日,2024年08月09日,169258
2024-07-28 17:03:13,2024年08月08日,2024年08月10日,185988
2024-07-28 17:03:13,2024年08月09日,2024年08月11日,203683
2024-07-28 17:14:05,2024年08月02日,2024年08月04日,155141
2024-07-28 17:14:05,2024年08月03日,2024年08月05日,153330
2024-07-28 17:14:05,2024年08月04日,2024年08月06日,172044
2024-07-28 17:14:05,2024年08月05日,2024年08月07日,179519
2024-07-28 17:14:05,2024年08月06日,2024年08月08日,173620
2024-07-28 17:14:05,2024年08月07日,2024年08月09日,174398
2024-07-28 17:14:05,2024年08月08日,2024年08月10日,195380
2024-07-28 17:14:05,2024年08月09日,2024年08月11日,212530
2024-07-28 17:35:01,2024年08月02日,2024年08月04日,152757
2024-07-28 17:35:01,2024年08月03日,2024年08月05日,153130
2024-07-28 17:35:01,2024年08月04日,2024年08月06日,173081
2024-07-28 17:35:01,2024年08月05日,2024年08月07日,183520
2024-07-28 17:35:01,2024年08月06日,2024年08月08日,169870
2024-07-28 17:35:01,2024年08月07日,2024年08月09日,168457
2024-07-28 17:35:01,2024年08月08日,2024年08月10日,185988
2024-07-28 17:35:01,2024年08月09日,2024年08月11日,226610
2024-07-28 18:04:41,2024年08月02日,2024年08月04日,152757
2024-07-28 18:04:41,2024年08月03日,2024年08月05日,158080
2024-07-28 18:04:41,2024年08月04日,2024年08月06日,165049
2024-07-28 18:04:41,2024年08月05日,2024年08月07日,179890
2024-07-28 18:04:41,2024年08月06日,2024年08月08日,169870
2024-07-28 18:04:41,2024年08月07日,2024年08月09日,168457
2024-07-28 18:04:41,2024年08月08日,2024年08月10日,185988
2024-07-28 18:04:41,2024年08月09日,2024年08月11日,205677
2024-07-28 18:34:46,2024年08月02日,2024年08月04日,155246
2024-07-28 18:34:46,2024年08月03日,2024年08月05日,158080
2024-07-28 18:34:46,2024年08月04日,2024年08月06日,171947
2024-07-28 18:34:46,2024年08月05日,2024年08月07日,179890
2024-07-28 18:34:46,2024年08月06日,2024年08月08日,173620
2024-07-28 18:34:46,2024年08月07日,2024年08月09日,174830
2024-07-28 18:34:46,2024年08月08日,2024年08月10日,195380
2024-07-28 18:34:46,2024年08月09日,2024年08月11日,210334
2024-07-28 19:04:47,2024年08月02日,2024年08月04日,155141
2024-07-28 19:04:47,2024年08月03日,2024年08月05日,137410
2024-07-28 19:04:47,2024年08月04日,2024年08月06日,171837
2024-07-28 19:04:47,2024年08月05日,2024年08月07日,134590
2024-07-28 19:04:47,2024年08月06日,2024年08月08日,130120
2024-07-28 19:04:47,2024年08月07日,2024年08月09日,174830
2024-07-28 19:04:47,2024年08月08日,2024年08月10日,195220
2024-07-28 19:04:47,2024年08月09日,2024年08月11日,210334
2024-07-28 19:34:34,2024年08月02日,2024年08月04日,155141
2024-07-28 19:34:34,2024年08月03日,2024年08月05日,137410
2024-07-28 19:34:34,2024年08月04日,2024年08月06日,171837
2024-07-28 19:34:34,2024年08月05日,2024年08月07日,134590
2024-07-28 19:34:34,2024年08月06日,2024年08月08日,127650
2024-07-28 19:34:34,2024年08月07日,2024年08月09日,170470
2024-07-28 19:34:34,2024年08月08日,2024年08月10日,190900
2024-07-28 19:34:34,2024年08月09日,2024年08月11日,210334
2024-07-28 20:04:36,2024年08月02日,2024年08月04日,155251
2024-07-28 20:04:36,2024年08月03日,2024年08月05日,137410
2024-07-28 20:04:36,2024年08月04日,2024年08月06日,175008
2024-07-28 20:04:36,2024年08月05日,2024年08月07日,134590
2024-07-28 20:04:36,2024年08月06日,2024年08月08日,127650
2024-07-28 20:04:36,2024年08月07日,2024年08月09日,174398
2024-07-28 20:04:36,2024年08月08日,2024年08月10日,208320
2024-07-28 20:04:36,2024年08月09日,2024年08月11日,210334
2024-07-28 20:34:33,2024年08月02日,2024年08月04日,172660
2024-07-28 20:34:33,2024年08月03日,2024年08月05日,137410
2024-07-28 20:34:33,2024年08月04日,2024年08月06日,175008
2024-07-28 20:34:33,2024年08月05日,2024年08月07日,137453
2024-07-28 20:34:33,2024年08月06日,2024年08月08日,127650
2024-07-28 20:34:33,2024年08月07日,2024年08月09日,174398
2024-07-28 20:34:33,2024年08月08日,2024年08月10日,164200
2024-07-28 20:34:33,2024年08月09日,2024年08月11日,210334
2024-07-28 21:05:07,2024年08月02日,2024年08月04日,155141
2024-07-28 21:05:07,2024年08月03日,2024年08月05日,137410
2024-07-28 21:05:07,2024年08月04日,2024年08月06日,175197
2024-07-28 21:05:07,2024年08月05日,2024年08月07日,148920
2024-07-28 21:05:07,2024年08月06日,2024年08月08日,183520
2024-07-28 21:05:07,2024年08月07日,2024年08月09日,177593
2024-07-28 21:05:07,2024年08月08日,2024年08月10日,164060
2024-07-28 21:05:07,2024年08月09日,2024年08月11日,210334
2024-07-28 21:34:56,2024年08月02日,2024年08月04日,171728
2024-07-28 21:34:56,2024年08月03日,2024年08月05日,140800
2024-07-28 21:34:56,2024年08月04日,2024年08月06日,175197
2024-07-28 21:34:56,2024年08月05日,2024年08月07日,168040
2024-07-28 21:34:56,2024年08月06日,2024年08月08日,172970
2024-07-28 21:34:56,2024年08月07日,2024年08月09日,194810
2024-07-28 21:34:56,2024年08月08日,2024年08月10日,164350
2024-07-28 21:34:56,2024年08月09日,2024年08月11日,210334
2024-07-28 22:04:48,2024年08月02日,2024年08月04日,152879
2024-07-28 22:04:48,2024年08月03日,2024年08月05日,160146
2024-07-28 22:04:48,2024年08月04日,2024年08月06日,167462
2024-07-28 22:04:48,2024年08月05日,2024年08月07日,151220
2024-07-28 22:04:48,2024年08月06日,2024年08月08日,151220
2024-07-28 22:04:48,2024年08月07日,2024年08月09日,171684
2024-07-28 22:04:48,2024年08月08日,2024年08月10日,192520
2024-07-28 22:04:48,2024年08月09日,2024年08月11日,205677
2024-07-28 22:35:13,2024年08月02日,2024年08月04日,171838
2024-07-28 22:35:13,2024年08月03日,2024年08月05日,158080
2024-07-28 22:35:13,2024年08月04日,2024年08月06日,191833
2024-07-28 22:35:13,2024年08月05日,2024年08月07日,164210
2024-07-28 22:35:13,2024年08月06日,2024年08月08日,171691
2024-07-28 22:35:13,2024年08月07日,2024年08月09日,177593
2024-07-28 22:35:13,2024年08月08日,2024年08月10日,164060
2024-07-28 22:35:13,2024年08月09日,2024年08月11日,213298
2024-07-28 23:49:46,2024年08月02日,2024年08月04日,152842
2024-07-28 23:49:46,2024年08月03日,2024年08月05日,158080
2024-07-28 23:49:46,2024年08月04日,2024年08月06日,157301
2024-07-28 23:49:46,2024年08月05日,2024年08月07日,161920
2024-07-28 23:49:46,2024年08月06日,2024年08月08日,168456
2024-07-28 23:49:46,2024年08月07日,2024年08月09日,170470
2024-07-28 23:49:46,2024年08月08日,2024年08月10日,163800
2024-07-28 23:49:46,2024年08月09日,2024年08月11日,205724
2024-07-29 00:04:35,2024年08月02日,2024年08月04日,152842
2024-07-29 00:04:35,2024年08月03日,2024年08月05日,158080
2024-07-29 00:04:35,2024年08月04日,2024年08月06日,157301
